VARIABLES = t,Cd_p,Cd_v
ZONE
 1.617000E+000 1.742901E+000 2.978458E-001
 1.620000E+000 1.800171E+000 2.989871E-001
 1.623000E+000 1.686113E+000 2.999228E-001
 1.626000E+000 1.627229E+000 3.006854E-001
 1.629000E+000 1.719404E+000 2.950891E-001
 1.632000E+000 1.720465E+000 2.946997E-001
 1.635000E+000 1.760383E+000 2.956179E-001
 1.638000E+000 1.762076E+000 2.965731E-001
 1.641000E+000 1.649802E+000 2.975226E-001
 1.644000E+000 1.620492E+000 2.982329E-001
 1.647000E+000 1.713702E+000 2.920265E-001
 1.650000E+000 1.734393E+000 2.922920E-001
 1.653000E+000 1.794066E+000 2.934917E-001
 1.656000E+000 1.693626E+000 2.943949E-001
 1.659000E+000 1.627424E+000 2.951834E-001
